estudo,cenario,dataset,modelo,kappa_inicial,kappa_modelos,delta_kappa,faixa_inicial_lk,faixa_modelo_lk,faixas_perdidas,severidade,amplificacao_detectada,ic_95_lower,ic_95_upper,significativo,direcao,concordancia_alvo,p_value,cramers_v,chi2_stat
Empirico (MQD-1465),MQD-1209-MF | SVM,MQD-1209-MF,SVM,0.7652,0.4647242995159253,0.3004757004840747,Substantial,Moderate,1,Leve,True,0.2619778946532224,0.3411045903612332,1.0,AMPLIFICA,,,,
Sintetico (SynSA),SynSA-75 | LR,SynSA-75,LR,0.6246234962394714,0.2888106583506166,0.33581283788885485,Substantial,Fair,2,Moderada,True,,,,,75.0,4.417359208198274e-35,0.2891812799555796,167.08437372814106
Sintetico (SynSA),SynSA-70 | SVM,SynSA-70,SVM,0.5495495495495495,0.2717695827045746,0.2777799668449749,Moderate,Fair,1,Leve,True,,,,,70.0,3.047648302243091e-33,0.2816655762727025,158.51232272035315
Sintetico (SynSA),SynSA-70 | NB,SynSA-70,NB,0.5495495495495495,0.2769309384731118,0.2726186110764377,Moderate,Fair,1,Leve,True,,,,,70.0,5.142972586083863e-34,0.2848487725385725,162.11536878702935
Sintetico (SynSA),SynSA-70 | RF,SynSA-70,RF,0.5495495495495495,0.1048629747092787,0.4446865748402708,Moderate,Slight,2,Moderada,True,,,,,70.0,4.9721201597970245e-05,0.1119161966440849,25.02541967241243
Sintetico (SynSA),SynSA-70 | LR,SynSA-70,LR,0.5495495495495495,0.258286128240544,0.2912634213090055,Moderate,Fair,1,Leve,True,,,,,70.0,9.24853062713718e-30,0.2668384957924735,142.26316010790623
Sintetico (SynSA),SynSA-65 | SVM,SynSA-65,SVM,0.47447289473526,0.2472773138876204,0.2271955808476396,Moderate,Fair,1,Leve,True,,,,,65.0,6.30992746750848e-27,0.2541150303710219,129.01974842360983
Sintetico (SynSA),SynSA-65 | NB,SynSA-65,NB,0.47447289473526,0.218812897925652,0.255659996809608,Moderate,Fair,1,Leve,True,,,,,65.0,4.2466402357309713e-23,0.2358050686622191,111.09685275277414
Sintetico (SynSA),SynSA-65 | RF,SynSA-65,RF,0.47447289473526,0.0737868029487586,0.4006860917865014,Moderate,Slight,2,Moderada,True,,,,,65.0,0.0017317536875038,0.0929052326343364,17.24550173717867
Sintetico (SynSA),SynSA-65 | LR,SynSA-65,LR,0.47447289473526,0.2498137705924579,0.2246591241428021,Moderate,Fair,1,Leve,True,,,,,65.0,4.3143481943670235e-27,0.2548742607439505,129.79185580197097
Sintetico (SynSA),SynSA-60 | SVM,SynSA-60,SVM,0.3993975939831543,0.1561751802437517,0.24322241373940257,Fair,Slight,1,Leve,True,,,,,60.0,3.994611699231386e-10,0.1578602942316376,49.78990524480863
Sintetico (SynSA),SynSA-60 | NB,SynSA-60,NB,0.3993975939831543,0.1458993741363895,0.2534982198467648,Fair,Slight,1,Leve,True,,,,,60.0,7.562280551227294e-09,0.1478172335175103,43.65616918049084
Sintetico (SynSA),SynSA-60 | RF,SynSA-60,RF,0.3993975939831543,0.0946346310179748,0.30476296296517946,Fair,Slight,1,Leve,True,,,,,60.0,4.2094459510782656e-05,0.1127170940579163,25.3848762991366
Sintetico (SynSA),SynSA-60 | LR,SynSA-60,LR,0.3993975939831543,0.1847655545536518,0.21463203942950249,Fair,Slight,1,Leve,True,,,,,60.0,1.6047267384056028e-14,0.1881276321056511,70.7132279114351
Sintetico (SynSA),SynSA-55 | SVM,SynSA-55,SVM,0.3243243243243243,0.1227950359038401,0.20152928842048418,Fair,Slight,1,Leve,True,,,,,55.0,1.0782182916471964e-06,0.1289387936962673,33.21717461465746
Sintetico (SynSA),SynSA-55 | NB,SynSA-55,NB,0.3243243243243243,0.1049149654689828,0.2194093588553415,Fair,Slight,1,Leve,True,,,,,55.0,6.978493063741196e-05,0.1102650700335976,24.292454567689347
Sintetico (SynSA),SynSA-55 | RF,SynSA-55,RF,0.3243243243243243,0.0470927547177758,0.2772315696065485,Fair,Slight,1,Leve,True,,,,,55.0,0.1522182316402993,0.0579374932248988,6.706792736128039
Sintetico (SynSA),SynSA-55 | LR,SynSA-55,LR,0.3243243243243243,0.1323407874451159,0.19198353687920838,Fair,Slight,1,Leve,True,,,,,55.0,1.5012179664480632e-07,0.1367872208135929,37.38406606825744
Sintetico (SynSA),SynSA-50 | SVM,SynSA-50,SVM,0.2507496246240605,0.0974972191323692,0.15325240549169128,Fair,Slight,1,Leve,True,,,,,50.0,0.0001906492827735,0.1051930597988397,22.10902850002485
Sintetico (SynSA),SynSA-50 | NB,SynSA-50,NB,0.2507496246240605,0.1042821226784892,0.1464675019455713,Fair,Slight,1,Leve,True,,,,,50.0,6.029923799787658e-05,0.1109801478585744,24.60855325098469
Sintetico (SynSA),SynSA-50 | RF,SynSA-50,RF,0.2507496246240605,0.0613616652211622,0.18938795940289826,Fair,Slight,1,Leve,True,,,,,50.0,0.0048107724517123,0.08649490326777,14.947773846019205
Sintetico (SynSA),SynSA-50 | LR,SynSA-50,LR,0.2507496246240605,0.1255951754320002,0.12515444919206029,Fair,Slight,1,Leve,True,,,,,50.0,8.442679865422492e-07,0.1299410656094475,33.735591702374045
