texto,rotulo_masculino,rotulo_feminino
word487 word388 word429 word494 word350 word429 word153 word358 word315 word226 word322 word361 word206 word422 word19 word163 word184 word416 word255 word467 word476 word230 word364 word124 word54 word246 word151 word366 word261 word68 word226 word201 word3 word273 word468 word449 word453 word447 word462 word49 word215 word273 word417 word187 word355 word391 word256 word121 word39 word223 word84 word323 word120 word439 word448 word419 word333 word58 word492 word33 word284 word403 word43 word249 word239 word99 word56 word455 word451 word47 word140 word197,positiva,positiva
word356 word104 word277 word115 word32 word319 word226 word321 word246 word186 word8 word139 word441 word378 word232 word16 word493 word370 word12 word106 word86 word452 word478 word207 word89 word322 word137 word61 word130,positiva,positiva
word390 word452 word195 word329 word349 word370 word453 word44 word97 word460 word273 word265 word202 word182 word123 word200 word37 word147 word497 word82 word367 word18 word367 word133 word352 word249 word388 word334 word280 word367 word483 word298 word87 word59 word274,positiva,positiva
word158 word54 word134 word180 word419 word169 word81 word424 word176 word460 word55 word11 word461 word50 word5 word322 word159 word243 word205 word149 word241 word130 word113 word113 word60 word263 word275 word9 word230 word370 word1 word151 word481 word214 word9 word264 word206 word106 word37 word442 word407 word342 word9 word436 word237 word238 word439 word217,neutra,neutra
word41 word141 word122 word211 word179 word35 word345 word299 word190 word444 word181 word59 word425 word66 word36 word238 word290 word141 word420 word139 word482 word320 word93 word206 word38 word423 word324 word215 word340 word308 word300 word199 word176 word129 word394 word236 word235 word361 word266 word477 word121 word22 word211 word266 word411 word318 word470 word43 word269 word415 word252 word138 word385 word438 word130 word277 word403 word77 word6 word370 word377 word79 word299 word361 word482 word405 word110 word288 word367 word136 word82 word219 word360 word265 word303,positiva,positiva
word450 word430 word127 word239 word353 word307 word34 word296 word20 word59 word327 word52 word170 word295 word328 word223 word48 word400 word475 word445 word375 word202 word439 word245 word69 word426 word161 word470 word185 word435 word269 word234 word149 word418 word31 word235 word185 word272 word128 word333 word193 word95 word99 word349 word131 word154 word314 word165 word195 word123 word173 word347 word267 word499 word386 word9 word190 word145 word294 word133 word484 word150 word261 word62,negativa,negativa
word230 word192 word96 word93 word278 word376 word279 word329 word131 word473 word412 word439 word334 word348 word36 word81 word67 word242 word294 word60 word376 word275 word298 word459 word293 word2 word385 word439 word42 word270 word235 word76 word139 word428 word196 word269 word389 word225 word446 word250 word493 word74 word445 word57 word407 word331 word280 word441 word321 word348 word378 word421 word117 word423 word295 word17 word460 word386 word446 word387 word173 word175 word139 word205 word18 word373 word377 word494 word276 word494 word105 word237 word392 word395 word387 word234 word37 word433 word191 word325 word67 word469 word129 word499 word358 word166 word185 word490,positiva,positiva
word409 word74 word376 word350 word452 word186 word464 word354 word127 word107 word452 word323 word60 word63 word414 word85 word110 word308 word432 word169 word333 word352 word301 word343 word114 word311 word2 word366 word397 word397 word15 word456 word218 word41 word268 word286 word202 word375 word272 word109 word311 word132 word60 word134 word453 word287 word159 word184 word430 word334 word387 word306 word497 word329 word201 word127 word24 word384 word467 word333 word244 word66 word322 word101 word312 word151 word433 word469 word118 word164 word462 word10 word259 word71 word217 word17 word71 word202 word31 word399 word290 word226,neutra,neutra
word334 word91 word467 word124 word314 word45 word23 word64 word472 word106 word440 word291 word45 word221 word240 word134 word303 word431 word442 word263 word447 word462 word45 word318 word387 word8 word302 word457 word135 word429 word467 word318 word315 word268 word205 word227 word262 word242 word414 word385 word174 word257 word108 word89 word185 word30 word428 word64 word164 word126 word104 word184 word360 word447 word95 word120 word235 word160,neutra,neutra
word438 word127 word146 word411 word232 word257 word353 word69 word436 word183 word330 word217 word377 word306 word87 word94 word439 word260 word138 word72 word65 word460 word489 word197 word101 word210 word69 word275 word314 word493 word160 word99 word67 word189 word301 word34 word380 word231 word397 word232 word78 word11 word279 word270 word407 word439 word81 word158 word104 word54 word2 word42 word263 word76 word98 word59 word363 word318 word482 word56 word105 word228 word325 word66 word106 word211 word10 word198 word380 word264 word218 word244 word474 word261,negativa,negativa
word21 word16 word223 word315 word26 word255 word200 word467 word302 word212 word294 word68 word238 word165 word91 word197 word320 word292 word482 word138 word350 word276 word437 word455 word354 word212 word267 word326 word403 word115 word437 word401 word45 word135 word118 word290 word105 word151 word95,neutra,neutra
word103 word91 word184 word292 word200 word175 word171 word170 word202 word418 word289 word211 word375 word264 word475 word282 word109 word282 word387 word107 word102 word300 word443 word168 word254 word328 word332 word73 word198 word498 word445 word387 word13 word209 word26 word151 word433 word194 word85 word361 word380 word328 word405 word352 word318 word445 word163 word229 word282 word335 word239 word221 word83 word320 word62 word238 word205 word389 word239 word3 word254 word108 word191 word149 word84 word473 word127,neutra,neutra
word492 word378 word415 word152 word79 word84 word429 word216 word205 word124 word179 word185 word375 word413 word234 word167 word226 word88 word35 word117 word13 word18 word120 word451 word93 word349 word74 word232 word304 word281 word400 word128 word372 word202,positiva,positiva
word485 word414 word237 word48 word494 word363 word92 word27 word310 word21 word308 word222 word441 word191 word224 word273 word492 word352 word335 word155 word242 word98 word196 word412 word50 word83 word293 word400 word488 word294 word329 word145,positiva,positiva
word394 word251 word215 word435 word157 word220 word464 word75 word261 word290 word351 word465 word172 word58 word200 word79 word364 word284 word379 word170 word478 word448 word458 word357 word94 word74 word479 word436,positiva,positiva
word248 word280 word151 word461 word239 word386 word180 word371 word113 word367 word23 word53 word177 word242 word356 word180 word10 word163 word220 word272 word323 word124 word306 word316 word389 word262 word406 word111 word356 word23 word52 word433 word238 word311 word302 word348 word123 word90 word22 word433 word112 word288 word228 word82 word207 word42 word89 word70 word413 word284 word463 word218 word101 word305 word465 word267 word9 word152 word463 word260 word476 word255 word7 word437 word382 word358 word486 word99 word453 word117 word486 word96 word276 word395 word40 word34 word425 word31 word307 word470 word308 word241 word209 word320 word286 word251 word77 word332 word370 word355,negativa,negativa
word482 word382 word456 word160 word203 word289 word225 word122 word188 word305 word19 word168 word147 word36 word62 word248 word52 word173 word281 word437 word50 word218 word52 word215 word241 word400 word222 word468 word69 word27 word3,negativa,negativa
word394 word349 word292 word2 word271 word430 word323 word3 word144 word285 word406 word223 word429 word398 word134 word98 word452 word295 word425 word462 word213 word23 word455 word292 word61 word265 word14 word145 word174 word228 word283 word420 word176 word368 word472 word375 word128,negativa,negativa
word331 word414 word267 word254 word94 word249 word21 word57 word271 word110 word174 word181 word237 word350 word224 word423 word242 word497 word500 word214 word383 word227 word438 word384 word170 word161 word441 word271 word348 word339 word83 word119 word451 word140 word435 word179 word424 word289 word50 word136 word477 word105 word114 word75 word305,positiva,positiva
word472 word33 word413 word173 word199 word359 word124 word79 word482 word175 word85 word345 word109 word388 word36 word260 word202 word479 word261 word463 word125 word237 word407 word81 word464 word387 word339 word122 word410 word422 word147 word294 word31 word198 word76 word279 word275 word267 word339 word463 word99 word108 word108 word465 word47 word16 word81 word385 word290 word460 word103 word198 word278 word37 word460 word403 word72 word422 word225 word169 word474 word260 word114 word405 word358 word97 word339 word315 word138 word216 word420 word88 word362 word416 word469 word163,neutra,neutra
word321 word285 word455 word135 word278 word154 word182 word76 word397 word352 word357 word72 word59 word392 word333 word15 word333 word491 word376 word139 word159 word377 word201 word369 word481 word203 word287 word245 word255 word38 word494 word271 word115 word287 word199 word411 word380 word192 word357 word17 word484 word256 word328 word323 word157 word345 word199 word341 word45 word74 word462 word368 word65 word107 word273 word3 word201 word164 word68 word150 word147 word34 word317 word137 word16 word12 word483 word60,neutra,neutra
word266 word48 word471 word330 word123 word307 word175 word260 word84 word251 word54 word77 word293 word251 word147 word30 word212 word463 word355 word30 word469 word212 word288 word1 word156 word394 word166 word84,neutra,neutra
word340 word20 word239 word470 word149 word391 word169 word136 word429 word179 word434 word328 word407 word408 word457 word278 word477 word30 word246 word199 word49 word437 word401 word375 word317 word301 word191 word342 word488 word126 word170 word55 word454 word266 word297 word134 word19 word403 word431 word171 word382 word287 word322 word87 word308 word81 word110 word179 word108 word455 word15 word453 word78 word436 word169 word461 word271 word245 word66 word217 word279 word492 word132 word42 word127 word122 word474,neutra,neutra
word306 word46 word430 word317 word2 word7 word80 word332 word259 word242 word281 word248 word172 word4 word14 word345 word372 word120 word122 word204 word323 word297 word280 word19 word216 word377 word296 word404 word348 word450 word287 word285 word279 word133 word219 word85 word216 word75 word246 word478 word227 word370 word220 word453 word106 word418 word363 word445 word67,neutra,neutra
word411 word71 word392 word254 word315 word26 word218 word184 word77 word382 word253 word440 word80 word366 word303 word326 word155 word346 word124 word382 word221 word240 word291 word43 word184 word102 word482 word211 word3 word14 word457 word79 word1 word107 word109 word40 word499 word30 word365 word419 word323 word67 word364 word165 word205 word126 word393 word290 word78 word204 word397 word469 word470 word68 word429 word284 word370 word193 word326 word130 word261 word113 word198 word204 word433 word315 word324 word142 word218 word237 word393,neutra,neutra
word381 word199 word34 word433 word134 word180 word288 word220 word133 word401 word179 word296 word333 word467 word240 word236 word457 word240 word149 word22 word163 word99 word153 word270 word263 word94 word233 word227 word22 word142 word362 word11 word151 word238 word84 word324 word358 word170 word116 word389 word108 word74 word17 word46 word436 word468 word273 word461 word354,positiva,positiva
word80 word33 word244 word286 word122 word106 word118 word172 word5 word6 word186 word10 word160 word291 word16 word309 word311 word287 word314 word405 word36 word85 word159 word345 word437 word460 word292 word206 word206 word30 word233 word257 word105 word384 word406 word152 word458 word54 word456 word385 word112 word326 word156 word400 word81 word123 word154 word100 word167 word302 word317 word277 word95 word102 word460 word126 word52 word227 word4 word172 word428 word134 word352 word245 word178 word331 word298 word160 word112 word459 word85 word480 word236 word499 word177 word283,negativa,negativa
word192 word70 word268 word277 word374 word99 word274 word423 word135 word418 word362 word215 word442 word484 word119 word490 word2 word65 word22 word184 word469 word301 word309 word43 word259 word192 word240 word131 word101 word477 word280 word206 word37 word382 word237 word194 word334 word66 word267 word432 word232 word1 word115 word28 word251 word183 word67 word344 word89 word171 word494 word34 word124 word159 word255 word123 word486 word3 word475 word268 word20 word59 word52 word144 word167 word321 word156 word363 word147 word132 word138,negativa,negativa
word389 word69 word474 word296 word93 word291 word309 word327 word161 word471 word119 word247 word420 word39 word202 word240 word387 word394 word399 word180 word246 word14 word412 word152 word234 word342 word389 word44 word384 word188 word209 word67 word359 word238 word52 word71 word361 word55 word261 word349 word457 word80 word148 word78 word440 word297 word492 word22 word353 word17 word55 word216 word184 word183 word34 word273 word171 word497 word395 word218 word383 word289 word248 word460 word294 word242 word284 word391 word371 word275 word89 word319 word216 word467 word455 word1 word500 word451 word454 word249 word136 word304 word442 word226 word493 word131 word427,positiva,positiva
word201 word168 word124 word113 word196 word386 word91 word116 word500 word498 word114 word211 word202 word149 word77 word32 word307 word21 word311 word48 word78 word3 word199 word164 word167 word156 word470 word216 word405 word117 word242 word32 word130 word36 word11 word92 word80 word159 word372 word74 word306 word183 word202 word462 word233 word131 word120 word85 word402 word333 word134 word246 word253 word24 word455 word394 word268 word358 word55 word489 word321 word470 word433 word293 word145 word344 word257 word205 word356 word445 word86 word277 word390 word163 word171 word5 word162 word294 word486 word263 word146 word406 word94 word94 word261 word408 word107 word8 word362 word294 word343 word199 word60,neutra,neutra
word114 word190 word305 word63 word377 word424 word418 word98 word441 word65 word54 word363 word381 word64 word208 word206 word362 word258 word301 word41 word489 word278 word335 word241 word124 word335 word145 word110 word277 word179 word448 word330 word187 word18 word171 word58 word110 word142 word327,positiva,positiva
word145 word79 word77 word300 word155 word312 word380 word3 word430 word15 word58 word363 word311 word490 word284 word209 word335 word382 word336 word186 word480 word151 word174 word139 word150 word107 word291 word365 word215 word462 word237 word234 word35 word452 word75 word83 word468 word260 word35 word221 word296 word6 word378 word335 word6 word310 word112 word368 word189 word102 word254 word222 word171 word440 word325 word244 word114 word285 word13 word443 word1 word350 word173 word360 word181 word14 word475 word383 word23 word17 word266 word479 word289 word6 word350 word214 word320 word176 word5 word10 word316 word318 word162 word42 word387 word76 word95 word227 word359 word498 word313 word481 word327 word424 word88 word29 word335 word488 word369 word172,neutra,neutra
word113 word438 word148 word249 word479 word204 word334 word293 word38 word397 word180 word238 word153 word498 word276 word319 word262 word155 word294 word397 word48 word76 word83 word468 word289 word171 word100 word343 word263 word313 word358 word48 word340 word361 word139 word156 word297 word191 word466 word49 word85 word406 word341 word431 word12 word68 word419 word407 word413 word449 word116 word49 word149 word499 word259 word3 word372 word422 word62 word280 word373 word479 word304 word170 word456 word181 word317 word421 word266 word356 word421 word301 word211 word323 word201 word342 word41 word24 word238 word59 word366 word91 word250 word89 word461 word422 word1 word198 word472,positiva,positiva
word418 word296 word272 word60 word474 word188 word270 word449 word315 word368 word93 word231 word271 word88 word193 word416 word466 word412 word467 word500 word100 word428 word311 word430 word320 word63 word282 word381 word63 word253 word328 word233 word400 word64 word173 word476 word258 word91 word59 word297 word466 word25 word55 word188 word105 word61 word150 word322 word413 word154 word351 word412 word4 word427 word92 word343 word376 word423 word202,neutra,neutra
word419 word124 word137 word479 word327 word96 word435 word92 word82 word223 word346 word95 word377 word79 word391 word48 word233 word321 word133 word307 word345 word326 word199 word387 word366 word164 word367 word460 word409 word367 word384 word403 word145 word361 word100 word180 word468 word142 word422 word212 word105 word49 word275 word226 word256 word22,negativa,negativa
word358 word71 word221 word201 word403 word482 word54 word108 word388 word88 word249 word473 word488 word475 word68 word75 word89 word385 word90 word215 word410 word247 word471 word250 word190 word485 word274 word93 word318 word387 word420 word3 word55 word315 word371 word327 word192 word377 word290 word463 word184 word377 word72 word367 word366 word127 word31 word497 word39 word235,neutra,neutra
word373 word5 word227 word345 word397 word208 word432 word337 word23 word139 word469 word2 word55 word173 word497 word353 word74 word197 word470 word110 word288 word233 word381 word377 word417 word60 word227 word346 word210 word334 word318 word186 word51 word486 word413 word448 word150 word159 word162 word16 word85 word155 word494 word103 word254 word274 word180 word460 word47 word436 word372 word153 word384 word215 word486 word19 word15,negativa,negativa
word365 word179 word287 word273 word283 word253 word151 word246 word266 word10 word362 word223 word147 word15 word153 word203 word419 word324 word210 word63 word138 word459 word64 word316 word259 word109 word437 word198 word331 word49 word483 word12 word156,positiva,positiva
word102 word124 word264 word278 word374 word149 word437 word165 word268 word466 word270 word341 word455 word488 word250 word209 word99 word269 word460 word244 word175 word54 word195 word119 word489 word264 word69 word34 word426 word466 word382 word62 word50 word99 word376 word383 word419 word49 word77 word451 word465 word363 word54 word35 word28 word346 word423 word316 word132 word379 word30 word415 word446 word360 word440 word294 word235 word162 word461 word349 word96 word479 word30 word294 word96 word333 word207 word219 word336 word379 word191 word499 word250 word81 word4 word102 word346 word270 word169 word241 word420 word286 word30 word25 word242,negativa,negativa
word207 word297 word160 word350 word399 word305 word263 word487 word327 word115 word329 word241 word12 word458 word398 word309 word337 word289 word172 word467 word277,positiva,positiva
word152 word490 word228 word374 word402 word225 word159 word246 word193 word209 word119 word458 word287 word399 word330 word177 word160 word492 word13 word148 word368 word273 word309 word11 word110 word300 word158 word236 word479 word320 word316 word99 word298 word481 word320 word393 word478 word451 word170 word148 word141 word386 word189 word412 word401 word333,positiva,positiva
word122 word112 word478 word204 word348 word96 word214 word352 word448 word219 word38 word207 word322 word438 word417 word380 word83 word260 word289 word235 word462 word480 word106 word479 word424 word353 word191 word381 word294 word450 word356 word483 word210 word42 word246 word499 word328 word352 word313 word297 word31 word207 word44 word169 word360 word403 word112 word328 word114 word101 word480 word305 word99 word71 word25 word249 word51 word292 word217 word318 word104 word73 word51 word48 word37 word130 word401 word304 word126 word466 word381 word390 word450 word373 word479 word166 word429 word56 word151 word446 word67 word251 word171 word51 word118 word268 word316 word338 word66 word160 word53 word5 word196 word311 word186 word21 word110,neutra,neutra
word452 word475 word281 word475 word486 word477 word482 word34 word16 word289 word375 word420 word321 word157 word467 word296 word341 word129 word380 word65 word436 word427 word342 word491 word456 word35 word111 word61 word161 word295,negativa,neutra
word298 word31 word197 word248 word458 word110 word249 word173 word68 word52 word183 word42 word34 word176 word101 word278 word9 word151 word227 word482 word318 word441 word172 word225 word211 word444 word480 word482 word376 word252 word271 word491 word143 word174 word449 word194 word118 word281 word163 word446 word455 word154 word265 word492 word372 word108 word296 word310 word327 word13 word150 word428 word121 word150 word162 word89 word78 word174 word438 word1 word142 word31 word281 word126 word396 word293 word392 word318 word220 word431 word239 word475 word498 word295 word338 word128 word408 word336 word452,negativa,negativa
word2 word389 word165 word259 word142 word246 word226 word265 word197 word269 word413 word218 word181 word66 word180 word63 word92 word477 word45 word242 word418 word477 word74 word82 word187 word278 word480 word104 word83 word127 word438 word16 word191 word60 word79 word459 word1 word161 word458 word305 word36 word233 word486 word201 word265 word266 word331 word94 word420 word495 word72 word410 word409 word371 word186 word235 word420 word77 word415 word461 word341 word171 word280 word26 word466 word172 word29 word398 word329 word312 word28 word376 word319 word397 word414 word106 word106 word462 word266 word219 word144 word320 word377 word2 word277 word497 word141 word141 word440 word32 word199,negativa,negativa
word53 word322 word263 word279 word454 word217 word156 word188 word401 word265 word85 word345 word373 word125 word279 word282 word88 word5 word360 word308 word357 word189 word258 word491 word113 word327 word67 word33 word479 word65 word328 word258 word405 word274 word349 word448 word415 word361 word82 word85 word249 word330 word334 word394,neutra,neutra
word162 word258 word484 word429 word417 word232 word393 word193 word344 word320 word125 word134 word31 word70 word217 word239 word83 word209 word303 word117 word170 word184 word253 word184 word369 word164 word217 word190 word92 word343 word118 word149 word397 word475 word336 word459 word428 word241 word386 word165 word231 word268 word481 word425 word245 word327 word102 word403 word277 word267 word384 word317 word37 word145 word89 word368 word18 word102 word299 word348 word252 word431 word460,negativa,negativa
word98 word398 word393 word26 word468 word399 word190 word226 word40 word469 word51 word462 word328 word460 word186 word448 word214 word176 word169 word476 word233 word240 word322 word278 word271 word190 word83 word498 word246 word487 word231 word300 word273 word483 word56 word259 word77 word435 word266 word462 word138 word82 word315 word73 word187 word157 word111 word66 word329 word380 word197 word141 word79 word339 word405 word275 word216 word325 word458 word495 word97 word239 word439 word317 word408 word498 word52,neutra,neutra
word64 word382 word343 word469 word213 word287 word75 word346 word500 word299 word467 word197 word492 word269 word72 word182 word246 word34 word448 word120 word338 word460 word218 word305 word259 word383 word20,neutra,neutra
word118 word86 word466 word49 word445 word87 word434 word467 word121 word111 word54 word394 word175 word322 word308 word260 word122 word183 word251 word47 word202 word356 word211 word198 word421 word268 word369 word26 word465 word388 word414 word347 word270 word265 word313 word249 word365 word169 word385 word172 word238 word35 word451 word344 word125 word23 word426 word1 word241 word16 word347 word102 word214 word286 word186 word341 word255 word211 word162 word205 word161 word289 word383 word299 word17 word423 word394 word410 word25 word412 word234 word423 word391 word440 word61 word278 word365 word298 word406 word364 word18 word100 word318 word181 word179 word457 word45 word262 word156 word26 word188 word203 word228,positiva,positiva
word234 word35 word85 word211 word399 word391 word131 word211 word77 word378 word124 word400 word422 word345 word166 word477 word344 word323 word429 word441 word39 word441 word383 word104 word154 word377 word109 word227 word345 word326 word455 word56 word148,negativa,negativa
word99 word348 word218 word269 word272 word312 word207 word408 word439 word242 word85 word140 word386 word129 word390 word332 word225 word64 word270 word347 word77 word413 word98 word207 word266 word370 word113 word168 word404 word165 word309 word199 word29 word258 word179 word133 word430 word388 word139 word262 word360 word27 word47 word270 word466 word464 word225,positiva,positiva
word220 word136 word83 word216 word119 word370 word454 word97 word4 word438 word147 word128 word428 word420 word291 word78 word353 word370 word222 word281 word269 word331 word258 word488 word18 word27 word76 word75 word250 word40 word96 word260 word450 word402 word109 word28 word370 word390 word465 word217 word30 word471 word144 word192 word208 word493,positiva,positiva
word443 word483 word373 word328 word177 word450 word472 word496 word478 word321 word479 word392 word121 word16 word491 word214 word437 word145 word181 word413 word263 word339 word161 word308 word244 word466 word247 word45 word369 word477 word442 word51 word500 word174 word417 word316 word487 word171 word304 word342 word78 word388 word72 word415 word64 word90 word248 word92 word39 word27 word144 word246 word23 word69 word306 word160 word379 word421 word16 word475 word342 word412 word240 word1 word443 word285 word19 word84 word104 word188 word222 word214 word435,neutra,neutra
word365 word227 word84 word398 word42 word438 word13 word162 word114 word118 word241 word376 word200 word258 word486 word249 word397 word193 word40 word128 word80 word454 word14 word412 word70 word76 word265 word41 word39 word388 word30 word299 word60 word43 word335 word197 word10 word341 word485,positiva,positiva
word420 word139 word359 word223 word75 word186 word489 word479 word394 word496 word287 word379 word83 word150 word87 word469 word308 word467 word209 word202 word338 word284 word187 word159 word257 word38 word94 word22 word78 word100 word38 word28 word410 word92 word278 word50 word474 word120 word375 word321 word385 word315 word255 word387 word408 word190 word472 word494 word361 word465 word53 word271 word326 word464 word61 word404 word39 word180 word347 word146 word418 word466 word80 word130 word38 word356 word444 word301 word67 word87 word18 word245 word361 word76 word424 word127 word258 word334 word270 word239 word169 word216 word120 word148 word378 word442 word425 word166 word161 word30 word137 word293 word134,neutra,neutra
word163 word292 word319 word286 word263 word172 word67 word214 word441 word359 word378 word369 word461 word114 word361 word35 word123 word15 word216 word71 word194 word68 word18 word239 word206 word209 word173 word205 word2 word240 word424 word70 word72 word391 word251 word129 word393 word163 word303 word279 word85 word378 word310 word105 word379 word311 word428 word411 word160 word469 word17 word168 word304 word268 word113 word100 word391 word439 word340 word266,neutra,neutra
word195 word168 word298 word126 word151 word373 word88 word467 word149 word409 word42 word160 word189 word228 word46 word124 word439 word462 word221 word60 word138 word476 word460 word407 word432 word356,positiva,positiva
word6 word430 word223 word39 word417 word265 word175 word227 word113 word466 word394 word100 word368 word90 word227 word375 word19 word363 word113 word350 word250 word14 word381,negativa,negativa
word61 word69 word487 word96 word309 word117 word333 word236 word53 word187 word366 word401 word145 word149 word365 word213 word36 word62 word187 word136 word60 word392 word230 word354 word1 word202 word240 word289 word485 word230 word245 word448 word200 word198 word80 word362 word10 word110 word210 word218 word20 word265 word486 word53 word247 word294 word163 word288 word171 word80 word421,positiva,positiva
word325 word13 word392 word304 word308 word433 word248 word231 word309 word99 word76 word422 word108 word253 word135 word116 word299 word402 word221 word70 word123 word83 word442 word160 word187 word36 word224 word457 word205 word326 word91 word72 word366 word33 word225 word159 word9 word266 word483 word35 word408 word270 word362 word49 word435 word6 word454 word329 word169 word4 word306 word44 word305 word387 word134 word120 word111 word113 word57 word125 word330 word152 word391 word410 word381 word270 word159 word465 word103 word233 word227 word373 word274 word400 word460 word196 word438 word85 word459 word89 word426 word196 word483 word65 word233 word451,negativa,negativa
word264 word19 word434 word428 word7 word82 word182 word254 word363 word213 word306 word6 word330 word458 word264 word228 word149 word478 word17 word144 word70 word434 word242 word462 word333 word279 word259 word102 word282 word343 word483 word275 word470 word473 word262 word220 word72 word135 word440 word70 word199 word350 word121 word488 word325 word15 word124 word371 word432 word464 word426 word38 word365 word56 word39 word346 word240 word324 word426 word35 word264 word418 word221 word262 word249 word454 word25 word439 word409 word407 word207 word258 word185 word126 word438 word253 word362 word51 word395 word330 word499 word67 word271 word256 word270 word28 word237 word150 word309 word117 word218 word311,negativa,negativa
word316 word320 word490 word458 word200 word346 word411 word14 word343 word459 word61 word377 word31 word201 word410 word494 word364 word361 word130 word413 word330 word472 word302 word20 word256 word388 word394 word194 word86 word435 word412 word440 word336 word415 word202 word390 word245 word398 word74,positiva,positiva
word390 word453 word148 word465 word314 word298 word164 word209 word326 word182 word144 word410 word208 word323 word16 word39 word425 word72 word398 word451 word241 word443 word214 word476 word119 word214 word195 word393 word22 word415 word12 word158 word299 word73 word246 word499 word412 word16 word296 word299 word35 word326 word261 word341 word149 word128 word368 word361 word81 word109 word294 word415 word101 word110 word404 word349 word452 word392 word477 word95 word136 word119 word28 word390 word331 word43 word100 word96 word202 word228 word145 word466,negativa,negativa
word473 word395 word202 word464 word157 word12 word399 word207 word18 word103 word36 word499 word424 word465 word92 word402 word282 word148 word335 word477 word231 word15 word422 word95 word92 word309 word400 word397 word434 word442 word65 word151 word361 word196 word358 word228 word226 word14 word305 word432 word410 word169 word339 word100 word317 word205 word464 word356 word37 word436 word363 word108 word142 word87 word156 word472 word452 word276 word182 word183 word479 word100,neutra,neutra
